site;replicate;sieve_2mm;sieve_1mm;sieve_500um;sieve_250um;sieve_125um;sieve_63um;sieve_pan;measured_total_sediment;sample;month;year
A;1;0.39;0.45;2.23;15.93;5.35;1.30;0.04;25.67;1;may;2025
A;2;0.09;0.60;1.54;10.96;5.79;1.58;0.09;21.05;1;may;2025
A;3;0.45;0.21;1.16;9.51;7.58;2.14;0.09;21.77;1;may;2025
B;1;0.83;0.52;2.94;12.53;13.44;0.58;0.04;21.27;1;may;2025
B;2;1.53;1.70;5.76;14.91;2.79;0.26;0.00;28.02;1;may;2025
B;3;0.27;0.47;2.67;15.57;7.13;1.58;0.08;28.31;1;may;2025
A;1;0.26;0.26;2.04;16.7;7.03;0.35;0.00;26.72;2;june;2025
A;2;0.81;0.37;2.26;15.02;4.69;0.39;0.00;25.40;2;june;2025
A;3;0.99;0.64;2.14;11.13;5.33;0.26;0.00;19.93;2;june;2025
B;1;0.04;0.57;1.91;11.44;8.59;1.72;0.09;23.58;2;june;2025
B;2;0.21;0.47;0.82;9.55;7.96;1.75;0.17;21.11;2;june;2025
B;3;0.00;0.10;2.90;15.75;2.48;0.24;0.00;21.50;2;june;2025
C;1;0.10;0.24;2.43;14.26;2.42;0.19;0.00;19.98;2;june;2025
C;2;0.00;0.24;2.59;15.25;2.9;0.22;0.00;21.00;2;june;2025
C;3;0.00;0.00;0.92;11.29;9.14;2.22;0.17;24.03;2;june;2025
A;1;0.27;0.32;1.19;11.24;9.45;2.23;0.11;25.10;3;july;2025
A;2;0.00;0.02;0.24;11.26;8.74;1.14;0.00;21.52;3;july;2025
A;3;0.00;0.00;0.87;9.87;9.04;1.73;0.03;21.58;3;july;2025
B;1;5.56;19.37;2.31;4.34;0.5;0.00;0.00;24.29;3;july;2025
B;2;0.40;0.79;1.89;12.4;3.98;0.79;0.11;20.13;3;july;2025
B;3;0.00;0.32;2.37;14.63;3.26;0.40;0.03;21.16;3;july;2025
C;1;0.08;0.29;2.34;15.08;5.16;0.32;0.00;23.44;3;july;2025
C;2;0.00;0.11;0.96;13.39;6.2;1.58;0.00;21.81;3;july;2025
C;3;0.07;0.22;2.04;16.78;7.24;0.44;0.00;27.04;3;july;2025
A;1;0.02;0.14;1.52;7.57;9.83;2.39;0.13;22.22;4;september;2025
A;2;0.15;0.42;1.37;7.79;6.87;2.02;0.16;19.72;4;september;2025
A;3;0.06;0.24;1.12;14.96;4.03;0.17;0.00;20.64;4;september;2025
B;1;0.17;0.44;1.87;13.26;5.37;0.73;0.13;21.11;4;september;2025
B;2;0.00;0.16;2.37;14.62;4.54;0.45;0.00;21.90;4;september;2025
B;3;0.00;0.16;2.01;11.59;5.40;0.44;0.00;17.87;4;september;2025
C;1;0.26;0.35;3.00;18.69;2.55;0.07;0.00;24.06;4;september;2025
C;2;0.04;0.07;1.36;11.43;4.41;0.47;0.00;19.65;4;september;2025
C;3;0.00;0.11;0.95;8.50;4.88;0.36;0.00;15.44;4;september;2025
A;1;0.06;0.07;0.89;8.48;8.61;2.57;0.24;21.57;5;october;2025
A;2;0.06;0.10;1.02;7.13;5.37;1.16;0.11;15.62;5;october ;2025
A;3;0.00;0.22;1.53;9.57;6.18;2.37;0.12;19.96;5;october;2025
B;1;0.00;0.04;0.97;15.92;1.90;0.11;0.00;18.85;5;october;2025
